linkID,From ,To ,Volume ,Cost 
1,1,2,4494.657646,6.000816237
2,1,3,8119.079948,4.00869075
3,2,1,4519.079948,6.000834123
4,2,6,5967.336396,6.573598255
5,3,1,8094.657646,4.008586653
6,3,4,14006.37102,4.269401832
7,3,12,10022.31962,4.020179156
8,4,3,14030.56092,4.271267756
9,4,5,18006.37102,2.315374106
10,4,11,5200,7.13330048
11,5,4,18030.56092,2.317072228
12,5,6,8798.267714,9.998225208
13,5,9,15780.78206,9.651310705
14,6,2,5991.758698,6.599517667
15,6,5,8806.498667,10.02070256
16,6,8,12492.92536,14.690955
17,7,8,12101.52912,5.552160381
18,7,18,15794.01061,2.062225687
19,8,6,12525.57861,14.82415952
20,8,7,12040.91827,5.501412963
21,8,9,6882.664913,15.17470751
22,8,16,8388.713063,10.72947353
23,9,5,15796.741,9.67015456
24,9,8,6836.705975,15.0378695
25,9,10,21744.07608,5.682533052
26,10,9,21814.07609,5.717243386
27,10,11,17726.62503,12.40568945
28,10,15,23125.79729,13.72237028
29,10,16,11047.09388,20.08480998
30,10,17,8100,16.30801715
31,11,4,5300,7.223024555
32,11,10,17604.22353,12.20325453
33,11,12,8365.285654,13.59022763
34,11,14,9776.119533,13.69128569
35,12,3,9973.707416,4.019790487
36,12,11,8404.934624,13.73515565
37,12,13,12287.60527,3.022796544
38,13,12,12378.64204,3.023479672
39,13,24,11121.35796,17.66100772
40,14,11,9814.069063,13.84264505
41,14,15,9036.334134,12.23433913
42,14,23,8400.43683,9.079344312
43,15,10,23192.28336,13.81156045
44,15,14,9079.820317,12.37460486
45,15,19,19083.28976,4.326212079
46,15,22,18409.93503,9.088143673
47,16,8,8406.714405,10.77881157
48,16,10,11073.00932,20.2362757
49,16,17,11695.00292,9.501458491
50,16,18,15278.32524,3.163464804
51,17,10,8100,16.30801715
52,17,16,11683.83828,9.472854416
53,17,19,9953.021432,7.436626799
54,18,7,15854.62146,2.063186385
55,18,16,15333.40666,3.165834876
56,18,20,18976.79612,4.259371087
57,19,15,19116.72428,4.335530792
58,19,17,9941.856798,7.412274035
59,19,20,8688.36704,9.459063508
60,20,18,18992.48838,4.260230067
61,20,19,8710.636921,9.515249399
62,20,21,6302.022874,8.165660813
63,20,22,7000,7.71313
64,21,20,6239.985018,8.08163569
65,21,22,8619.539698,4.213505826
66,21,24,10309.4108,11.92405983
67,22,15,18386.47276,9.057167183
68,22,20,7000,7.71313
69,22,21,8607.38793,4.201049856
70,22,23,9661.824231,12.3658055
71,23,14,8394.900178,9.065966544
72,23,22,9626.2102,12.24313849
73,23,24,7902.983927,3.759304188
74,24,13,11112.39473,17.61702072
75,24,21,10259.52472,11.75257941
76,24,23,7861.833244,3.722946742
